viscosity_mPas;replicate;entered_on;instrument;temperature_C;product_concentration_mg_mL;product;protein_format;molecular_weight_kDa;extinction_coefficient_L_molcm;isoelectric_point
3.50;2;26.07.2019;VISCOSIMETER_02;20;10;BI112890;DoppelMab;204222;320.62;6.97
3.21;1;26.07.2019;VISCOSIMETER_02;25;10;BI112890;DoppelMab;204222;320.62;6.97
16.55;1;26.07.2019;VISCOSIMETER_02;2;62.5;BI112890;DoppelMab;204222;320.62;6.97
16.19;2;27.07.2019;VISCOSIMETER_02;2;62.5;BI112890;DoppelMab;204222;320.62;6.97
12.56;1;26.07.2019;VISCOSIMETER_02;5;62.5;BI112890;DoppelMab;204222;320.62;6.97
12.23;2;27.07.2019;VISCOSIMETER_02;5;62.5;BI112890;DoppelMab;204222;320.62;6.97
9.28;1;26.07.2019;VISCOSIMETER_02;10;62.5;BI112890;DoppelMab;204222;320.62;6.97
8.93;2;27.07.2019;VISCOSIMETER_02;10;62.5;BI112890;DoppelMab;204222;320.62;6.97
7.48;1;26.07.2019;VISCOSIMETER_02;15;62.5;BI112890;DoppelMab;204222;320.62;6.97
7.13;2;27.07.2019;VISCOSIMETER_02;15;62.5;BI112890;DoppelMab;204222;320.62;6.97
6.19;1;26.07.2019;VISCOSIMETER_02;20;62.5;BI112890;DoppelMab;204222;320.62;6.97
5.86;2;27.07.2019;VISCOSIMETER_02;20;62.5;BI112890;DoppelMab;204222;320.62;6.97
5.18;1;26.07.2019;VISCOSIMETER_02;25;62.5;BI112890;DoppelMab;204222;320.62;6.97
4.79;2;27.07.2019;VISCOSIMETER_02;25;62.5;BI112890;DoppelMab;204222;320.62;6.97
4.57;1;26.07.2019;VISCOSIMETER_02;30;62.5;BI112890;DoppelMab;204222;320.62;6.97
4.17;2;27.07.2019;VISCOSIMETER_02;30;62.5;BI112890;DoppelMab;204222;320.62;6.97
4.08;1;26.07.2019;VISCOSIMETER_02;35;62.5;BI112890;DoppelMab;204222;320.62;6.97
3.72;2;27.07.2019;VISCOSIMETER_02;35;62.5;BI112890;DoppelMab;204222;320.62;6.97
3.62;1;26.07.2019;VISCOSIMETER_02;40;62.5;BI112890;DoppelMab;204222;320.62;6.97
2.21;2;27.07.2019;VISCOSIMETER_02;40;62.5;BI112890;DoppelMab;204222;320.62;6.97
4.99;1;19.09.2019;VISCOSIMETER_02;2;10;BI550788;DoppelMab;206428;355.71;8.34
4.56;2;19.09.2019;VISCOSIMETER_02;2;10;BI550788;DoppelMab;206428;355.71;8.34
4.63;1;19.09.2019;VISCOSIMETER_02;5;10;BI550788;DoppelMab;206428;355.71;8.34
4.56;2;19.09.2019;VISCOSIMETER_02;5;10;BI550788;DoppelMab;206428;355.71;8.34
4.14;1;19.09.2019;VISCOSIMETER_02;10;10;BI550788;DoppelMab;206428;355.71;8.34
4.14;2;19.09.2019;VISCOSIMETER_02;10;10;BI550788;DoppelMab;206428;355.71;8.34
3.76;1;19.09.2019;VISCOSIMETER_02;15;10;BI550788;DoppelMab;206428;355.71;8.34
3.72;2;19.09.2019;VISCOSIMETER_02;15;10;BI550788;DoppelMab;206428;355.71;8.34
3.41;1;19.09.2019;VISCOSIMETER_02;20;10;BI550788;DoppelMab;206428;355.71;8.34
3.36;2;19.09.2019;VISCOSIMETER_02;20;10;BI550788;DoppelMab;206428;355.71;8.34
3.02;1;19.09.2019;VISCOSIMETER_02;25;10;BI550788;DoppelMab;206428;355.71;8.34
2.95;2;19.09.2019;VISCOSIMETER_02;25;10;BI550788;DoppelMab;206428;355.71;8.34
2.69;1;19.09.2019;VISCOSIMETER_02;30;10;BI550788;DoppelMab;206428;355.71;8.34
2.71;2;19.09.2019;VISCOSIMETER_02;30;10;BI550788;DoppelMab;206428;355.71;8.34
2.53;1;19.09.2019;VISCOSIMETER_02;35;10;BI550788;DoppelMab;206428;355.71;8.34
2.52;2;19.09.2019;VISCOSIMETER_02;35;10;BI550788;DoppelMab;206428;355.71;8.34
2.36;1;19.09.2019;VISCOSIMETER_02;40;10;BI550788;DoppelMab;206428;355.71;8.34
2.33;2;19.09.2019;VISCOSIMETER_02;40;10;BI550788;DoppelMab;206428;355.71;8.34
21.01;1;19.09.2019;VISCOSIMETER_02;2;62.5;BI550788;DoppelMab;206428;355.71;8.34
20.22;2;19.09.2019;VISCOSIMETER_02;2;62.5;BI550788;DoppelMab;206428;355.71;8.34
17.15;1;19.09.2019;VISCOSIMETER_02;5;62.5;BI550788;DoppelMab;206428;355.71;8.34
16.50;2;19.09.2019;VISCOSIMETER_02;5;62.5;BI550788;DoppelMab;206428;355.71;8.34
12.66;1;19.09.2019;VISCOSIMETER_02;10;62.5;BI550788;DoppelMab;206428;355.71;8.34
12.18;2;19.09.2019;VISCOSIMETER_02;10;62.5;BI550788;DoppelMab;206428;355.71;8.34
9.87;1;19.09.2019;VISCOSIMETER_02;15;62.5;BI550788;DoppelMab;206428;355.71;8.34
9.39;2;19.09.2019;VISCOSIMETER_02;15;62.5;BI550788;DoppelMab;206428;355.71;8.34
7.95;1;19.09.2019;VISCOSIMETER_02;20;62.5;BI550788;DoppelMab;206428;355.71;8.34
7.45;2;19.09.2019;VISCOSIMETER_02;20;62.5;BI550788;DoppelMab;206428;355.71;8.34
6.34;1;19.09.2019;VISCOSIMETER_02;25;62.5;BI550788;DoppelMab;206428;355.71;8.34
6.05;2;19.09.2019;VISCOSIMETER_02;25;62.5;BI550788;DoppelMab;206428;355.71;8.34
5.43;1;19.09.2019;VISCOSIMETER_02;30;62.5;BI550788;DoppelMab;206428;355.71;8.34
5.22;2;19.09.2019;VISCOSIMETER_02;30;62.5;BI550788;DoppelMab;206428;355.71;8.34
4.76;1;19.09.2019;VISCOSIMETER_02;35;62.5;BI550788;DoppelMab;206428;355.71;8.34
4.53;2;19.09.2019;VISCOSIMETER_02;35;62.5;BI550788;DoppelMab;206428;355.71;8.34
4.25;1;19.09.2019;VISCOSIMETER_02;40;62.5;BI550788;DoppelMab;206428;355.71;8.34
4.01;2;19.09.2019;VISCOSIMETER_02;40;62.5;BI550788;DoppelMab;206428;355.71;8.34
